date,open,high,low,close,volume,currency_volume,SMA,CCI,ADX,STOCH,ATR,upper_bb,middle_band,lower_bb,RSI,MOM,EMA,MACD,MACDSingal,FearGreedIndex,btcDominance,ethDominance,score,activeCryptocurrencies,activeMarketPairs,activeExchanges,totalCryptocurrencies,totalExchanges,USDtotalMarketCap,USDtotalVolume24H,USDtotalVolume24HReported,USDaltcoinVolume24H,USDaltcoinVolume24HReported,USDaltcoinMarketCap,googlePrice,googleVolume,METAPrice,METAVolume,APPLEPrice,APPLEVolume,AMAZONPrice,AMAZONVolume
2018-02-01,9341.5,9539.9,8050.0,9072.0,24088.32276499,211902716.58494768,10485.42857142857,-186.69371804622665,21.793294702677716,17.497003937681903,1315.5571428571427,13504.289253442903,11133.48,8762.670746557096,36.10617698892911,-1651.6000000000004,10121.614209669862,-974.0745582182062,-829.2145156476325,30,33.3298,11.7061,1517443200000.0,2166.0,18205.0,259.0,7371.0,1180.0,517171871744.0,24512888832.0,0.0,16461599744.0,0.0,344799543296.0,59.0795,0,193.09,0,41.945,0,69.5,0
2018-02-02,9076.5,9473.1,8260.0,9188.9,13157.41372143,116415434.8237993,10158.371428571429,-163.91127747829796,22.58385626350832,19.498373566170173,1277.457142857143,13370.161971645595,10960.439999999999,8550.718028354402,36.90752677081523,-1888.8999999999996,9888.435657252398,-1015.0839454823108,-866.3884016147814,15,33.8744,11.7061,1517529600000.0,2166.0,18205.0,259.0,7371.0,1180.0,454481379328.0,28487213056.0,0.0,18546104320.0,0.0,300528697344.0,55.96,0,190.28,0,40.125,0,71.4975,0
2018-02-05,7424.6,7511.3,6032.3,7310.1,45609.86734941,307191582.5588615,8743.371428571429,-200.53730556005664,26.781756993858536,16.259686716632523,1278.014285714286,13234.173207768064,10375.03,7515.886792231937,29.963512983460518,-4168.199999999999,8634.108792903355,-1306.3716851079535,-1033.3846940052854,11,35.2568,11.7061,1517788800000.0,2166.0,18205.0,259.0,7371.0,1180.0,395170643968.0,21671804928.0,0.0,14610355200.0,0.0,255845941248.0,53.1195,0,181.26,0,39.1225,0,69.5,0
2018-02-06,7310.1,8499.9,6810.0,8165.4,28328.11658385,213567382.9623304,8477.157142857144,-125.91513022874524,27.389792672300516,27.143166172522164,1326.8428571428572,13163.97559271631,10203.475,7242.974407283691,36.34225421970981,-3587.6000000000004,8516.931594677517,-1304.787934721835,-1087.6653421487226,8,35.9426,11.7061,1517875200000.0,2166.0,18205.0,259.0,7371.0,1180.0,330554540032.0,26410778624.0,0.0,17010449408.0,0.0,211744620544.0,54.2215,0,185.31,0,40.7575,0,72.142,0
2018-02-07,8165.4,8700.8,7400.0,8245.1,5234.16183931,42607951.0480125,8320.528571428573,-97.06309735375052,27.728357309987402,28.157328820288345,1361.1642857142856,13066.43683561309,10043.4,7020.3631643869085,36.91880172573373,-3144.7999999999993,8448.973696008139,-1282.320223029339,-1126.596318324919,36,35.2176,11.7061,1517961600000.0,2166.0,18205.0,259.0,7371.0,1180.0,371073253376.0,40717025280.0,0.0,26767726592.0,0.0,240390045696.0,52.7705,0,180.18,0,39.885,0,70.839,0
2018-02-08,8244.0,8494.0,7760.0,8364.0,6333.55320247,51603528.84074261,8219.385714285714,-82.20668128995644,28.042723165958773,29.670301703844142,1318.1928571428568,12711.763050092766,9836.055,6960.3469499072335,37.82352991333315,-1970.3999999999996,8427.730272006105,-1240.6196482387586,-1149.400984307721,30,35.8885,11.7061,1518048000000.0,2166.0,18205.0,259.0,7371.0,1180.0,358649856000.0,25514647552.0,0.0,16335848448.0,0.0,229935775744.0,50.3855,0,171.58,0,38.7875,0,67.525,0
2018-02-09,8363.6,9036.7,8269.8,8311.9,6036.75015412,52476001.16225527,8094.099999999999,-59.01501103417688,27.672197918169612,29.007342181276798,1321.1785714285713,12519.848442340975,9677.36,6834.871557659026,37.56926209076529,-1717.0,8398.77270400458,-1197.965833591441,-1159.1139541644766,44,35.3158,11.7061,1518134400000.0,2166.0,18205.0,259.0,7371.0,1180.0,394758422528.0,25022167040.0,0.0,15678925824.0,0.0,255346376704.0,52.3135,0,176.11,0,39.1025,0,66.98,0
2018-02-12,8650.5,8976.8,8360.0,8500.0,9971.56013985,86172033.39754158,8378.914285714285,-39.188070819993754,26.80889374311815,55.04941218462087,1094.6285714285714,12118.651379119055,9344.135,6569.618620880945,39.56981933345475,-688.8999999999996,8473.138484501933,-1008.653698103275,-1112.1791521597022,42,34.3019,11.7061,1518393600000.0,2166.0,18205.0,259.0,7371.0,1180.0,400146137088.0,19457486848.0,0.0,13307966464.0,0.0,262888357888.0,52.728,0,176.41,0,40.6775,0,69.3115,0
2018-02-13,8504.9,9307.3,8474.3,9300.0,9412.78300877,83373424.60355425,8541.0,-12.560558180137296,25.822773087116246,76.56817489514258,1096.7714285714285,11914.717394641473,9257.22,6599.722605358525,46.50801428438453,462.39999999999964,8679.85386337645,-887.0812674602057,-1067.1595752197807,35,34.8616,11.7061,1518480000000.0,2166.0,18205.0,259.0,7371.0,1180.0,431751888896.0,18241718272.0,0.0,11984258048.0,0.0,281236242432.0,52.707,0,173.15,0,41.085,0,70.7255,0
2018-02-14,9307.3,9897.0,9182.2,9788.9,9552.2508137,91650036.11188664,8761.542857142857,28.13691536601144,24.09558770299021,97.20288767562812,1074.1142857142856,11733.094047938841,9195.025,6656.955952061159,50.26604509032817,2364.2999999999993,8957.115397532336,-742.7243425963206,-1002.272528695063,55,34.8345,11.7061,1518566400000.0,2166.0,18205.0,259.0,7371.0,1180.0,416320323584.0,16896848896.0,0.0,11208379392.0,0.0,271297183744.0,53.635,0,179.52,0,41.8425,0,72.5525,0
2018-02-15,9774.0,10274.9,9663.3,10009.3,9232.27062851,91841460.29023376,8996.585714285715,59.33121146711246,22.754787185378454,93.73968792721443,1011.3785714285714,11458.479152596115,9121.575,6784.670847403887,51.906390197991016,2699.199999999999,9220.161548149252,-603.5791272373317,-922.5338484034914,71,34.7631,11.7061,1518652800000.0,2166.0,18205.0,259.0,7371.0,1180.0,460329975808.0,24380936192.0,0.0,16466265088.0,0.0,300304826368.0,54.568,0,179.96,0,43.2475,0,73.088,0
2018-02-16,10016.9,10860.0,9888.0,10709.0,9037.52830713,94915457.10848393,9339.028571428571,110.76815886441833,22.214950843735007,96.87221658346624,994.157142857143,11195.965977795686,9069.375,6942.784022204314,56.78001216138913,2543.6000000000004,9592.371161111938,-431.86965594753565,-824.4010099122756,67,35.753,11.7061,1518739200000.0,2166.0,18205.0,259.0,7371.0,1180.0,478170120192.0,25032452096.0,0.0,15993031680.0,0.0,307210125312.0,54.775,0,177.36,0,43.1075,0,72.4345,0
2018-02-20,11497.4,11774.0,10410.0,10583.0,10198.6260262,112848404.38423423,10624.314285714285,119.34163293252757,21.93916149469525,72.77091906721537,878.0,11640.870793345604,9207.789999999999,6774.709206654394,53.524366462783384,2157.0,10527.306890820573,39.079352737207955,-380.1676349974523,74,37.6869,11.7061,1519084800000.0,2166.0,18205.0,259.0,7371.0,1180.0,502924541952.0,19399817216.0,0.0,11756548096.0,0.0,313388040192.0,55.1795,0,176.01,0,42.9625,0,73.4175,0
2018-02-21,10555.8,10919.2,9750.0,9990.0,9197.36134357,95416598.03192976,10653.042857142858,64.5591081453783,20.377286240990557,55.55555555555556,868.6000000000001,11710.505120949523,9253.689999999999,6796.874879050474,49.01306058616092,1350.0,10392.98016811543,23.918240797402177,-299.35045983847476,54,39.4643,11.7061,1519171200000.0,2166.0,18205.0,259.0,7371.0,1180.0,486329253888.0,25115938816.0,0.0,15187227648.0,0.0,294403047424.0,55.6875,0,177.91,0,42.7675,0,74.146,0
2018-02-22,10004.6,10400.0,9560.0,10310.1,9380.8763108,93492787.24180657,10696.014285714287,50.97534198700046,19.189959550070405,62.974859628711634,876.1714285714287,11811.1040514142,9309.75,6808.3959485857995,51.39456419691254,1810.1000000000004,10372.260126086572,37.301674814249054,-232.02003290792555,44,39.2598,11.7061,1519257600000.0,2166.0,18205.0,259.0,7371.0,1180.0,458321625088.0,23367251968.0,0.0,14008462336.0,0.0,278385557504.0,55.495,0,178.99,0,43.125,0,74.267,0
2018-02-23,10300.1,10495.0,9570.0,9731.5,9246.71408474,92745864.08898015,10556.371428571429,37.702671979514434,17.93959162905313,48.340836663463,887.4642857142857,11852.21925171416,9354.445,6856.670748285839,47.1111195020065,431.5,10212.070094564928,1.2071803440321673,-185.37459025753154,39,39.1377,11.7061,1519344000000.0,2166.0,18205.0,259.0,7371.0,1180.0,428603572224.0,20116506624.0,0.0,12098667520.0,0.0,260858019840.0,56.4045,0,183.29,0,43.875,0,75.0,0
2018-02-26,10277.9,10874.3,10129.8,10583.7,10304.56259233,107985546.0040144,10125.157142857144,66.04247836133918,16.036259122779214,63.92702366881841,900.8857142857144,11773.115859080843,9722.515,7671.914140919156,53.689781879644144,-125.29999999999927,10203.10925864458,20.65466235974054,-101.75849345843204,37,37.9425,11.7061,1519603200000.0,2166.0,18205.0,259.0,7371.0,1180.0,430344110080.0,15180637184.0,0.0,9463227392.0,0.0,267060690944.0,57.185,0,184.93,0,44.7425,0,76.0975,0
2018-02-27,10589.4,11070.0,10372.0,10507.7,9746.81401105,104028111.47445194,10114.4,69.96822691722136,16.090421907087098,51.14206343082029,891.2428571428572,11790.470118547744,9835.645,7880.819881452257,53.06623200542859,-87.0,10279.256943983435,50.737278631950176,-71.25933904035494,44,38.8948,11.7061,1519689600000.0,2166.0,18205.0,259.0,7371.0,1180.0,451307765760.0,18723049472.0,0.0,11405189120.0,0.0,275772342272.0,55.8755,0,181.46,0,44.5975,0,75.599,0
2018-02-28,10501.5,10845.6,10233.0,10717.6,9672.54433077,102039487.859657,10218.342857142856,61.66992231052581,15.89164415400759,57.55725190839696,883.9428571428572,11816.34489578888,9953.325,8090.305104211122,54.6333433711749,-470.2999999999993,10388.842707987576,90.47195129100692,-38.91308097408202,41,39.4519,11.7061,1519776000000.0,2166.0,18205.0,259.0,7371.0,1180.0,457545515008.0,17899302912.0,0.0,10933243904.0,0.0,277035220992.0,55.196,0,178.32,0,44.53,0,75.6225,0
